original_file,anonymized_file,category,original_name,anonymized_name
BERGSTROM2026/BERGSTROM2026_sir_prior_immunity_underreporting.txt,BERGSTROM2026/BERGSTROM2026_sir_prior_immunity_underreporting_anonymized.txt,state,S,x1
BERGSTROM2026/BERGSTROM2026_sir_prior_immunity_underreporting.txt,BERGSTROM2026/BERGSTROM2026_sir_prior_immunity_underreporting_anonymized.txt,state,Ir,x2
BERGSTROM2026/BERGSTROM2026_sir_prior_immunity_underreporting.txt,BERGSTROM2026/BERGSTROM2026_sir_prior_immunity_underreporting_anonymized.txt,state,Iu,x3
BERGSTROM2026/BERGSTROM2026_sir_prior_immunity_underreporting.txt,BERGSTROM2026/BERGSTROM2026_sir_prior_immunity_underreporting_anonymized.txt,state,Rr,x4
BERGSTROM2026/BERGSTROM2026_sir_prior_immunity_underreporting.txt,BERGSTROM2026/BERGSTROM2026_sir_prior_immunity_underreporting_anonymized.txt,state,Ru,x5
BERGSTROM2026/BERGSTROM2026_sir_prior_immunity_underreporting.txt,BERGSTROM2026/BERGSTROM2026_sir_prior_immunity_underreporting_anonymized.txt,unknown_parameter,beta_r,p1
BERGSTROM2026/BERGSTROM2026_sir_prior_immunity_underreporting.txt,BERGSTROM2026/BERGSTROM2026_sir_prior_immunity_underreporting_anonymized.txt,unknown_parameter,beta_u,p2
BERGSTROM2026/BERGSTROM2026_sir_prior_immunity_underreporting.txt,BERGSTROM2026/BERGSTROM2026_sir_prior_immunity_underreporting_anonymized.txt,unknown_parameter,p,p3
BERGSTROM2026/BERGSTROM2026_sir_prior_immunity_underreporting.txt,BERGSTROM2026/BERGSTROM2026_sir_prior_immunity_underreporting_anonymized.txt,unknown_parameter,pi,p4
BERGSTROM2026/BERGSTROM2026_sir_prior_immunity_underreporting.txt,BERGSTROM2026/BERGSTROM2026_sir_prior_immunity_underreporting_anonymized.txt,unknown_parameter,i0,p5
BERGSTROM2026/BERGSTROM2026_sir_prior_immunity_underreporting.txt,BERGSTROM2026/BERGSTROM2026_sir_prior_immunity_underreporting_anonymized.txt,known_input_or_constant,gamma,c1
BERGSTROM2026/BERGSTROM2026_sir_prior_immunity_underreporting.txt,BERGSTROM2026/BERGSTROM2026_sir_prior_immunity_underreporting_anonymized.txt,known_input_or_constant,n,c2
DANKWA2022/DANKWA2022_hv_s1_host_incidence_known_initial.txt,DANKWA2022/DANKWA2022_hv_s1_host_incidence_known_initial_anonymized.txt,state,Sh,x1
DANKWA2022/DANKWA2022_hv_s1_host_incidence_known_initial.txt,DANKWA2022/DANKWA2022_hv_s1_host_incidence_known_initial_anonymized.txt,state,Lh,x2
DANKWA2022/DANKWA2022_hv_s1_host_incidence_known_initial.txt,DANKWA2022/DANKWA2022_hv_s1_host_incidence_known_initial_anonymized.txt,state,Ih,x3
DANKWA2022/DANKWA2022_hv_s1_host_incidence_known_initial.txt,DANKWA2022/DANKWA2022_hv_s1_host_incidence_known_initial_anonymized.txt,state,Rh,x4
DANKWA2022/DANKWA2022_hv_s1_host_incidence_known_initial.txt,DANKWA2022/DANKWA2022_hv_s1_host_incidence_known_initial_anonymized.txt,state,Sv,x5
DANKWA2022/DANKWA2022_hv_s1_host_incidence_known_initial.txt,DANKWA2022/DANKWA2022_hv_s1_host_incidence_known_initial_anonymized.txt,state,Lv,x6
DANKWA2022/DANKWA2022_hv_s1_host_incidence_known_initial.txt,DANKWA2022/DANKWA2022_hv_s1_host_incidence_known_initial_anonymized.txt,state,Iv,x7
DANKWA2022/DANKWA2022_hv_s1_host_incidence_known_initial.txt,DANKWA2022/DANKWA2022_hv_s1_host_incidence_known_initial_anonymized.txt,unknown_parameter,ah,p1
DANKWA2022/DANKWA2022_hv_s1_host_incidence_known_initial.txt,DANKWA2022/DANKWA2022_hv_s1_host_incidence_known_initial_anonymized.txt,unknown_parameter,av,p2
DANKWA2022/DANKWA2022_hv_s1_host_incidence_known_initial.txt,DANKWA2022/DANKWA2022_hv_s1_host_incidence_known_initial_anonymized.txt,unknown_parameter,bh,p3
DANKWA2022/DANKWA2022_hv_s1_host_incidence_known_initial.txt,DANKWA2022/DANKWA2022_hv_s1_host_incidence_known_initial_anonymized.txt,unknown_parameter,bv,p4
DANKWA2022/DANKWA2022_hv_s1_host_incidence_known_initial.txt,DANKWA2022/DANKWA2022_hv_s1_host_incidence_known_initial_anonymized.txt,unknown_parameter,gh,p5
