scenario,category,position,original,anonymized
model18_jia_d,state,1,S,x1
model18_jia_d,state,2,E,x2
model18_jia_d,state,3,I,x3
model18_jia_d,state,4,A,x4
model18_jia_d,state,5,R,x5
model18_jia_d,state,6,Q,x6
model18_jia_d,state,7,D,x7
model18_jia_d,parameter,1,beta,p1
model18_jia_d,parameter,2,theta,p2
model18_jia_d,parameter,3,lambda,p3
model18_jia_d,parameter,4,sigma,p4
model18_jia_d,parameter,5,rho,p5
model18_jia_d,parameter,6,epsilon_a,p6
model18_jia_d,parameter,7,epsilon_i,p7
model18_jia_d,parameter,8,gamma_i,p8
model18_jia_d,parameter,9,gamma_a,p9
model18_jia_d,parameter,10,gamma_d,p10
model18_jia_d,parameter,11,p,p11
model18_jia_d,parameter,12,d_i,p12
model18_jia_d,parameter,13,d_d,p13
model18_jia_q_d,state,1,S,x1
model18_jia_q_d,state,2,E,x2
model18_jia_q_d,state,3,I,x3
model18_jia_q_d,state,4,A,x4
model18_jia_q_d,state,5,R,x5
model18_jia_q_d,state,6,Q,x6
model18_jia_q_d,state,7,D,x7
model18_jia_q_d,parameter,1,beta,p1
model18_jia_q_d,parameter,2,theta,p2
model18_jia_q_d,parameter,3,lambda,p3
model18_jia_q_d,parameter,4,sigma,p4
model18_jia_q_d,parameter,5,rho,p5
model18_jia_q_d,parameter,6,epsilon_a,p6
model18_jia_q_d,parameter,7,epsilon_i,p7
model18_jia_q_d,parameter,8,gamma_i,p8
model18_jia_q_d,parameter,9,gamma_a,p9
model18_jia_q_d,parameter,10,gamma_d,p10
model18_jia_q_d,parameter,11,p,p11
model18_jia_q_d,parameter,12,d_i,p12
model18_jia_q_d,parameter,13,d_d,p13
model18_jia_d_i_q,state,1,S,x1
model18_jia_d_i_q,state,2,E,x2
model18_jia_d_i_q,state,3,I,x3
model18_jia_d_i_q,state,4,A,x4
model18_jia_d_i_q,state,5,R,x5
model18_jia_d_i_q,state,6,Q,x6
model18_jia_d_i_q,state,7,D,x7
model18_jia_d_i_q,parameter,1,beta,p1
model18_jia_d_i_q,parameter,2,theta,p2
model18_jia_d_i_q,parameter,3,lambda,p3
model18_jia_d_i_q,parameter,4,sigma,p4
model18_jia_d_i_q,parameter,5,rho,p5
model18_jia_d_i_q,parameter,6,epsilon_a,p6
model18_jia_d_i_q,parameter,7,epsilon_i,p7
model18_jia_d_i_q,parameter,8,gamma_i,p8
model18_jia_d_i_q,parameter,9,gamma_a,p9
model18_jia_d_i_q,parameter,10,gamma_d,p10
model18_jia_d_i_q,parameter,11,p,p11
model18_jia_d_i_q,parameter,12,d_i,p12
model18_jia_d_i_q,parameter,13,d_d,p13
model26_gallina_q_j,state,1,S,x1
model26_gallina_q_j,state,2,I,x2
model26_gallina_q_j,state,3,R,x3
model26_gallina_q_j,state,4,A,x4
model26_gallina_q_j,state,5,Q,x5
model26_gallina_q_j,state,6,J,x6
model26_gallina_q_j,parameter,1,mu1,p1
model26_gallina_q_j,parameter,2,mu2,p2
model26_gallina_q_j,parameter,3,d1,p3
model26_gallina_q_j,parameter,4,d2,p4
model26_gallina_q_j,parameter,5,d3,p5
model26_gallina_q_j,parameter,6,d4,p6
model26_gallina_q_j,parameter,7,d5,p7
model26_gallina_q_j,parameter,8,d6,p8
model26_gallina_q_j,parameter,9,k1,p9
model26_gallina_q_j,parameter,10,k2,p10
model26_gallina_q_j,parameter,11,lambda,p11
model26_gallina_q_j,parameter,12,gamma1,p12
model26_gallina_q_j,parameter,13,gamma2,p13
model26_gallina_q_j,parameter,14,eps_a,p14
model26_gallina_q_j,parameter,15,eps_q,p15
model26_gallina_q_j,parameter,16,eps_j,p16
model26_gallina_q_j,constant,1,b,c1
model26_gallina_q_j,constant,2,N,c2
model31_dohare_i,state,1,S,x1
model31_dohare_i,state,2,E,x2
model31_dohare_i,state,3,I,x3
model31_dohare_i,state,4,A,x4
model31_dohare_i,state,5,J,x5
model31_dohare_i,state,6,R,x6
model31_dohare_i,parameter,1,alpha,p1
model31_dohare_i,parameter,2,sigma,p2
model31_dohare_i,parameter,3,h,p3
model31_dohare_i,parameter,4,r,p4
model31_dohare_i,parameter,5,q,p5
model31_dohare_i,parameter,6,f,p6
