symbol_type,anonymous_symbol,original_symbol
state,x1,S
state,x2,E
state,x3,IA
state,x4,IS
state,x5,AT_1
state,x6,ST_1
state,x7,QAP
state,x8,QSP
state,x9,ATN
state,x10,STN
state,x11,PS
state,x12,KR
state,x13,D
state,x14,FT_1
state,x15,FTN
state,x16,QFS
state,x17,NT_1
state,x18,NTN
state,x19,NTP
state,x20,IM
state,x21,FPI
state,x22,STI
state,x23,SRE
state,x24,UR
state,x25,FPS
state,x26,AT_3
state,x27,QAP_1
state,x28,ATN_1
state,x29,NT_2
state,x30,FT_2
state,x31,AT_2
state,x32,AT_4
state,x33,ST_2
state,x34,H_1
state,x35,H_2
state,x36,H_3
state,x37,ST_3
state,x38,FT_3
state,x39,ST_4
state,x40,PA
state,x41,F_NT_1
state,x42,F_NT_2
state,x43,F_NTP
state,x44,F_FT_1
state,x45,F_FT_2
state,x46,F_QFS
state,x47,F_AT_1
state,x48,F_AT_2
state,x49,F_QAP
state,x50,F_ST_1
state,x51,F_ST_2
state,x52,F_QSP
state,x53,F_AT_3
state,x54,F_AT_4
state,x55,F_QAP_1
state,x56,F_H1
state,x57,F_ST_4
state,x58,F_H2
state,x59,F_ST_3
state,x60,F_H3
state,x61,F_FT_3
state,x62,F_IM
state,x63,F_STI
state,x64,F_SRE
state,x65,F_FPS
state,x66,F_PA
state,x67,F_PS
state,x68,F_GT1
state,x69,F_GT2
state,x70,GT_1
state,x71,GT_2
state,x72,F_QGP
state,x73,GTN
state,x74,QGP
state,x75,SF
state,x76,GS
parameter,p1,beta
parameter,p2,beta_prime
parameter,p3,r
parameter,p4,per_a
parameter,p5,per_s
parameter,p6,lambda_a
parameter,p7,lambda_s
parameter,p8,phi_a_1
parameter,p9,phi_a_2
parameter,p10,phi_s_1
parameter,p11,phi_s_2
parameter,p12,phi_se
parameter,p13,hos_1
parameter,p14,hos_2
parameter,p15,hos_3
parameter,p16,kappa_s_1
parameter,p17,kappa_s_2
parameter,p18,kappa_h_1
parameter,p19,kappa_h_2
parameter,p20,g_beta
output,y1,y_pos
output,y2,y_neg
output,y3,y_H
output,y4,y_D
constant,c1,7278737
